Day,Susceptible,Infected,Recovered,Dead,Vaccinated
236,910,14,625,1254,698
237,906,15,629,1254,697
238,905,17,630,1254,695
239,903,9,640,1255,694
240,902,6,644,1255,694
241,901,5,647,1255,693
242,901,5,648,1255,692
243,901,3,651,1255,691
244,900,4,651,1255,691
245,899,7,652,1255,688
246,897,8,653,1255,688
247,897,8,655,1255,686
248,897,5,659,1255,685
249,897,5,660,1255,684
250,897,5,660,1255,684
251,897,3,663,1255,683
252,897,4,663,1255,682
253,892,9,663,1255,682
254,890,11,665,1257,678
255,890,9,667,1258,677
256,889,10,670,1258,674
257,887,7,675,1258,674
258,885,10,676,1258,672
259,884,7,680,1258,672
260,883,3,684,1259,672
261,883,2,685,1259,672
262,882,2,686,1259,672
